,UserID,party,country,start,end,term,Photo,Gender,Death,Twitter,Homepage,Facebook,Instagram,Mail,date_brith,place_brith,url,full,aliases
2341,23801,Partia Ludowo-Demokratyczna,Poland,2003-04-23T00:00:00,2004-04-30T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/23801.jpg,M,,,,,,,1960-04-06T00:00:00,Teresin,http://www.europarl.europa.eu/meps/en/23801/name/cv,Krzysztof RUTKOWSKI,"['Krzysztof RUTKOWSKI', 'RUTKOWSKI', 'RUTKOWSKI Krzysztof']"
2342,23801,Partia Ludowo-Demokratyczna,Poland,2004-05-01T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/23801.jpg,M,,,,,,,1960-04-06T00:00:00,Teresin,http://www.europarl.europa.eu/meps/en/23801/name/cv,Krzysztof RUTKOWSKI,"['Krzysztof RUTKOWSKI', 'RUTKOWSKI', 'RUTKOWSKI Krzysztof']"
2343,28376,Samoobrona RP,Poland,2004-07-20T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/28376.jpg,M,,,,,,,1932-10-18T00:00:00,Kraków,http://www.europarl.europa.eu/meps/en/28376/name/cv,Leopold Józef RUTOWICZ,"['Leopold Józef RUTOWICZ', 'RUTOWICZ', 'RUTOWICZ Leopold Józef']"
2344,28113,Fianna Fáil Party,Ireland,2004-07-20T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/28113.jpg,M,,,,,,,1953-02-24T00:00:00,Dublin,http://www.europarl.europa.eu/meps/en/28113/name/cv,Eoin RYAN,"['Eoin RYAN', 'RYAN', 'RYAN Eoin']"
2345,2122,Suomen Keskusta,Finland,1995-01-01T00:00:00,1996-11-10T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/2122.jpg,F,,,,,,,1944-11-11T00:00:00,Kuopion mlk,http://www.europarl.europa.eu/meps/en/2122/name/cv,Mirja RYYNÄNEN,"['Mirja RYYNÄNEN', 'RYYNÄNEN', 'RYYNÄNEN Mirja']"
2346,2122,Suomen Keskusta,Finland,1996-11-11T00:00:00,1999-07-19T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/2122.jpg,F,,,,,,,1944-11-11T00:00:00,Kuopion mlk,http://www.europarl.europa.eu/meps/en/2122/name/cv,Mirja RYYNÄNEN,"['Mirja RYYNÄNEN', 'RYYNÄNEN', 'RYYNÄNEN Mirja']"
2347,1960,Partido Comunista Português,Portugal,1994-07-19T00:00:00,1994-09-26T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/1960.jpg,M,,,,,,,1952-02-12T00:00:00,Lubango (Angola),http://www.europarl.europa.eu/meps/en/1960/name/cv,Luis SA',"[""Luis SA'"", ""SA'"", ""SA' Luis""]"
2348,2070,Socialdemokraterna,Sweden,1995-01-01T00:00:00,1995-10-08T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/2070.jpg,M,,,,,,,1941-10-05T00:00:00,Hudiksvall,http://www.europarl.europa.eu/meps/en/2070/name/cv,Bengt-Ola RYTTAR,"['Bengt-Ola RYTTAR', 'RYTTAR', 'RYTTAR Bengt-Ola']"
2349,710,Union pour la France en Europe,France,1979-07-17T00:00:00,1984-07-23T00:00:00,1.0,https://www.europarl.europa.eu/mepphoto/710.jpg,M,,,,,,,1911-11-30T00:00:00,Fort de France (Martinique),http://www.europarl.europa.eu/meps/en/710/name/cv,Victor SABLÉ,"['SABLÉ', 'SABLÉ Victor', 'Victor SABLÉ']"
2350,4305,Kristdemokraterna,Sweden,1999-07-20T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/4305.jpg,M,,,,,,,1957-06-17T00:00:00,Ronneby,http://www.europarl.europa.eu/meps/en/4305/name/cv,Lennart SACRÉDEUS,"['Lennart SACRÉDEUS', 'SACRÉDEUS', 'SACRÉDEUS Lennart']"
2351,1158,sans étiquette,France,1989-07-25T00:00:00,1994-07-18T00:00:00,3.0,https://www.europarl.europa.eu/mepphoto/1158.jpg,M,,,,,,,1943-07-23T00:00:00,Paris,http://www.europarl.europa.eu/meps/en/1158/name/cv,André SAINJON,"['André SAINJON', 'SAINJON', 'SAINJON André']"
2352,1158,Mouvement des Radicaux de Gauche,France,1994-07-19T00:00:00,1996-03-11T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/1158.jpg,M,,,,,,,1943-07-23T00:00:00,Paris,http://www.europarl.europa.eu/meps/en/1158/name/cv,André SAINJON,"['André SAINJON', 'SAINJON', 'SAINJON André']"
2353,1158,Parti radical,France,1996-03-12T00:00:00,1999-07-19T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/1158.jpg,M,,,,,,,1943-07-23T00:00:00,Paris,http://www.europarl.europa.eu/meps/en/1158/name/cv,André SAINJON,"['André SAINJON', 'SAINJON', 'SAINJON André']"
2354,4425,Democratici di Sinistra,Italy,1999-07-20T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/4425.jpg,M,,,,,,,1948-06-23T00:00:00,Udine,http://www.europarl.europa.eu/meps/en/4425/name/cv,Guido SACCONI,"['Guido SACCONI', 'SACCONI', 'SACCONI Guido']"
2355,4425,Uniti nell'Ulivo,Italy,2004-07-20T00:00:00,2004-07-28T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/4425.jpg,M,,,,,,,1948-06-23T00:00:00,Udine,http://www.europarl.europa.eu/meps/en/4425/name/cv,Guido SACCONI,"['Guido SACCONI', 'SACCONI', 'SACCONI Guido']"
2356,4425,Democratici di Sinistra,Italy,2004-07-29T00:00:00,2008-02-18T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/4425.jpg,M,,,,,,,1948-06-23T00:00:00,Udine,http://www.europarl.europa.eu/meps/en/4425/name/cv,Guido SACCONI,"['Guido SACCONI', 'SACCONI', 'SACCONI Guido']"
2357,4425,Partito Democratico,Italy,2008-02-19T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/4425.jpg,M,,,,,,,1948-06-23T00:00:00,Udine,http://www.europarl.europa.eu/meps/en/4425/name/cv,Guido SACCONI,"['Guido SACCONI', 'SACCONI', 'SACCONI Guido']"
2358,2242,Mouvement des Radicaux de Gauche,France,1994-07-19T00:00:00,1996-03-11T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/2242.jpg,M,,,,,,,1940-11-10T00:00:00,La Tronche,http://www.europarl.europa.eu/meps/en/2242/name/cv,Dominique SAINT-PIERRE,"['Dominique SAINT-PIERRE', 'SAINT-PIERRE', 'SAINT-PIERRE Dominique']"
2359,2242,Parti radical,France,1996-03-12T00:00:00,1999-07-19T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/2242.jpg,M,,,,,,,1940-11-10T00:00:00,La Tronche,http://www.europarl.europa.eu/meps/en/2242/name/cv,Dominique SAINT-PIERRE,"['Dominique SAINT-PIERRE', 'SAINT-PIERRE', 'SAINT-PIERRE Dominique']"
2360,4410,"Chasse, Pêche, Nature, Traditions",France,1999-07-20T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/4410.jpg,M,,,,,,,1944-03-22T00:00:00,Coarraze,http://www.europarl.europa.eu/meps/en/4410/name/cv,Jean SAINT-JOSSE,"['Jean SAINT-JOSSE', 'SAINT-JOSSE', 'SAINT-JOSSE Jean']"
2361,37200,Sotsiaaldemokraatlik Erakond,Estonia,2006-10-09T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/37200.jpg,F,,,,,,,1956-11-29T00:00:00,Tallinn,http://www.europarl.europa.eu/meps/en/37200/name/cv,Katrin SAKS,"['Katrin SAKS', 'SAKS', 'SAKS Katrin']"
